Variable:,measure_id,measure_name,location_id,location_name,fips,race_id,race_name,sex_id,sex_name,age_group_id,age_name,cause_id,cause_name,year,metric_id,metric_name,val,upper,lower
Label:,Measure ID,Measure Name,Location ID,Location Name,FIPS code,Race/ethnicity ID,Race/ethnicity name,Sex ID,Sex Name,Age Group ID,Age Group Name,Cause ID,Cause Name,Year,Metric ID,Metric Name,Value,95% Uncertainty Interval (Upper Bound),95% Uncertainty Interval (Lower Bound)
Value Coding: ,1,Deaths,102,United States of America,,1,Total,2,Female,28,<1 year,366,Maternal disorders,2000,3,Rate,,,
,,,523,Alabama,1,2,Latino,,,5,1 to 4,,,2001,,,,,
,,,614,Autauga County (Alabama),1001,4,Black,,,6,5 to 9,,,2002,,,,,
,,,637,Baldwin County (Alabama),1003,5,White,,,7,10 to 14,,,2003,,,,,
,,,624,Barbour County (Alabama),1005,6,AIAN,,,8,15 to 19,,,2004,,,,,
,,,603,Bibb County (Alabama),1007,7,Asian,,,9,20 to 24,,,2005,,,,,
,,,588,Blount County (Alabama),1009,,,,,10,25 to 29,,,2006,,,,,
,,,622,Bullock County (Alabama),1011,,,,,11,30 to 34,,,2007,,,,,
,,,628,Butler County (Alabama),1013,,,,,12,35 to 39,,,2008,,,,,
,,,593,Calhoun County (Alabama),1015,,,,,13,40 to 44,,,2009,,,,,
,,,605,Chambers County (Alabama),1017,,,,,14,45 to 49,,,2010,,,,,
,,,584,Cherokee County (Alabama),1019,,,,,15,50 to 54,,,2011,,,,,
,,,608,Chilton County (Alabama),1021,,,,,16,55 to 59,,,2012,,,,,
,,,621,Choctaw County (Alabama),1023,,,,,17,60 to 64,,,2013,,,,,
,,,627,Clarke County (Alabama),1025,,,,,18,65 to 69,,,2014,,,,,
,,,602,Clay County (Alabama),1027,,,,,19,70 to 74,,,2015,,,,,
,,,594,Cleburne County (Alabama),1029,,,,,20,75 to 79,,,2016,,,,,
,,,633,Coffee County (Alabama),1031,,,,,30,80 to 84,,,2017,,,,,
,,,578,Colbert County (Alabama),1033,,,,,160,85 plus,,,2018,,,,,
,,,631,Conecuh County (Alabama),1035,,,,,27,Age-standardized,,,2019,,,,,
,,,607,Coosa County (Alabama),1037,,,,,22,All Ages,,,,,,,,
,,,635,Covington County (Alabama),1039,,,,,,,,,,,,,,
,,,626,Crenshaw County (Alabama),1041,,,,,,,,,,,,,,
,,,586,Cullman County (Alabama),1043,,,,,,,,,,,,,,
,,,634,Dale County (Alabama),1045,,,,,,,,,,,,,,
,,,615,Dallas County (Alabama),1047,,,,,,,,,,,,,,
,,,579,DeKalb County (Alabama),1049,,,,,,,,,,,,,,
,,,612,Elmore County (Alabama),1051,,,,,,,,,,,,,,
,,,638,Escambia County (Alabama),1053,,,,,,,,,,,,,,
,,,589,Etowah County (Alabama),1055,,,,,,,,,,,,,,
,,,595,Fayette County (Alabama),1057,,,,,,,,,,,,,,
,,,583,Franklin County (Alabama),1059,,,,,,,,,,,,,,
,,,639,Geneva County (Alabama),1061,,,,,,,,,,,,,,
,,,604,Greene County (Alabama),1063,,,,,,,,,,,,,,
,,,609,Hale County (Alabama),1065,,,,,,,,,,,,,,
,,,630,Henry County (Alabama),1067,,,,,,,,,,,,,,
,,,636,Houston County (Alabama),1069,,,,,,,,,,,,,,
,,,577,Jackson County (Alabama),1071,,,,,,,,,,,,,,
,,,596,Jefferson County (Alabama),1073,,,,,,,,,,,,,,
,,,590,Lamar County (Alabama),1075,,,,,,,,,,,,,,
,,,574,Lauderdale County (Alabama),1077,,,,,,,,,,,,,,
,,,580,Lawrence County (Alabama),1079,,,,,,,,,,,,,,
,,,613,Lee County (Alabama),1081,,,,,,,,,,,,,,
,,,575,Limestone County (Alabama),1083,,,,,,,,,,,,,,
,,,620,Lowndes County (Alabama),1085,,,,,,,,,,,,,,
,,,616,Macon County (Alabama),1087,,,,,,,,,,,,,,
,,,576,Madison County (Alabama),1089,,,,,,,,,,,,,,
,,,617,Marengo County (Alabama),1091,,,,,,,,,,,,,,
,,,585,Marion County (Alabama),1093,,,,,,,,,,,,,,
,,,582,Marshall County (Alabama),1095,,,,,,,,,,,,,,
,,,640,Mobile County (Alabama),1097,,,,,,,,,,,,,,
,,,629,Monroe County (Alabama),1099,,,,,,,,,,,,,,
,,,619,Montgomery County (Alabama),1101,,,,,,,,,,,,,,
,,,581,Morgan County (Alabama),1103,,,,,,,,,,,,,,
,,,611,Perry County (Alabama),1105,,,,,,,,,,,,,,
,,,600,Pickens County (Alabama),1107,,,,,,,,,,,,,,
,,,625,Pike County (Alabama),1109,,,,,,,,,,,,,,
,,,601,Randolph County (Alabama),1111,,,,,,,,,,,,,,
,,,618,Russell County (Alabama),1113,,,,,,,,,,,,,,
,,,592,Saint Clair County (Alabama),1115,,,,,,,,,,,,,,
,,,599,Shelby County (Alabama),1117,,,,,,,,,,,,,,
,,,610,Sumter County (Alabama),1119,,,,,,,,,,,,,,
,,,597,Talladega County (Alabama),1121,,,,,,,,,,,,,,
,,,606,Tallapoosa County (Alabama),1123,,,,,,,,,,,,,,
,,,598,Tuscaloosa County (Alabama),1125,,,,,,,,,,,,,,
,,,591,Walker County (Alabama),1127,,,,,,,,,,,,,,
,,,632,Washington County (Alabama),1129,,,,,,,,,,,,,,
,,,623,Wilcox County (Alabama),1131,,,,,,,,,,,,,,
,,,587,Winston County (Alabama),1133,,,,,,,,,,,,,,
,,,524,Alaska,2,,,,,,,,,,,,,,
,,,649,Anchorage Municipality (Alaska),2020,,,,,,,,,,,,,,
,,,648,Bethel Census Area (Alaska),2050,,,,,,,,,,,,,,
,,,644,Bristol Bay Borough (Alaska),2060,,,,,,,,,,,,,,
,,,643,Fairbanks North Star Borough (Alaska),2090,,,,,,,,,,,,,,
,,,653,Haines Borough (Alaska),2100,,,,,,,,,,,,,,
,,,654,Juneau City and Borough (Alaska),2110,,,,,,,,,,,,,,
,,,650,Kenai Peninsula Borough (Alaska),2122,,,,,,,,,,,,,,
,,,655,Kodiak Island Borough (Alaska),2150,,,,,,,,,,,,,,
,,,646,Matanuska-Susitna Borough (Alaska),2170,,,,,,,,,,,,,,
,,,645,Nome Census Area (Alaska),2180,,,,,,,,,,,,,,
,,,641,North Slope Borough (Alaska),2185,,,,,,,,,,,,,,
,,,656,Sitka City and Borough (Alaska),2220,,,,,,,,,,,,,,
,,,666,Southeast Fairbanks Census Area (Alaska),2240,,,,,,,,,,,,,,
,,,94086,Chugach Census Area (Alaska),2063,,,,,,,,,,,,,,
,,,94086,Copper River Census Area (Alaska),2066,,,,,,,,,,,,,,
,,,94086,Valdez-Cordova Census Area (Alaska),2261,,,,,,,,,,,,,,
,,,94085,Kusilvak Census Area (Alaska),2158,,,,,,,,,,,,,,
,,,94085,Wade Hampton Census Area (Alaska),2270,,,,,,,,,,,,,,
,,,94083,Kobuk Census Area (Alaska),2140,,,,,,,,,,,,,,
,,,94083,Northwest Arctic Borough (Alaska),2188,,,,,,,,,,,,,,
,,,94087,Aleutian Islands Census Area (Alaska),2010,,,,,,,,,,,,,,
,,,94087,Aleutians East Borough (Alaska),2013,,,,,,,,,,,,,,
,,,94087,Aleutians West Census Area (Alaska),2016,,,,,,,,,,,,,,
,,,94061,Dillingham Census Area (Alaska),2070,,,,,,,,,,,,,,
,,,94061,Lake and Peninsula Borough (Alaska),2164,,,,,,,,,,,,,,
,,,94062,Denali Borough (Alaska),2068,,,,,,,,,,,,,,
,,,94062,Yukon-Koyukuk Census Area (Alaska),2290,,,,,,,,,,,,,,
,,,94090,Hoonah-Angoon Census Area (Alaska),2105,,,,,,,,,,,,,,
,,,94090,Skagway Municipality (Alaska),2230,,,,,,,,,,,,,,
,,,94090,Skagway-Yakutat-Angoon Census Area (Alaska),2231,,,,,,,,,,,,,,
,,,94090,Skagway-Hoonah-Angoon Census Area (Alaska),2232,,,,,,,,,,,,,,
,,,94090,Yakutat City and Borough (Alaska),2282,,,,,,,,,,,,,,
,,,94091,Ketchikan Gateway Borough (Alaska),2130,,,,,,,,,,,,,,
,,,94091,Petersburg Borough (Alaska),2195,,,,,,,,,,,,,,
,,,94091,Prince of Wales-Hyder Census Area (Alaska),2198,,,,,,,,,,,,,,
,,,94091,Prince of Wales-Outer Ketchikan Census Area (Alaska),2201,,,,,,,,,,,,,,
,,,94091,Wrangell City and Borough (Alaska),2275,,,,,,,,,,,,,,
,,,94091,Wrangell-Petersburg Census Area (Alaska),2280,,,,,,,,,,,,,,
,,,525,Arizona,4,,,,,,,,,,,,,,
,,,671,Apache County (Arizona),4001,,,,,,,,,,,,,,
,,,681,Cochise County (Arizona),4003,,,,,,,,,,,,,,
,,,669,Coconino County (Arizona),4005,,,,,,,,,,,,,,
,,,673,Gila County (Arizona),4007,,,,,,,,,,,,,,
,,,677,Graham County (Arizona),4009,,,,,,,,,,,,,,
,,,676,Greenlee County (Arizona),4011,,,,,,,,,,,,,,
,,,675,Maricopa County (Arizona),4013,,,,,,,,,,,,,,
,,,670,Mohave County (Arizona),4015,,,,,,,,,,,,,,
,,,668,Navajo County (Arizona),4017,,,,,,,,,,,,,,
,,,680,Pima County (Arizona),4019,,,,,,,,,,,,,,
,,,679,Pinal County (Arizona),4021,,,,,,,,,,,,,,
,,,682,Santa Cruz County (Arizona),4023,,,,,,,,,,,,,,
,,,672,Yavapai County (Arizona),4025,,,,,,,,,,,,,,
,,,94063,La Paz County (Arizona),4012,,,,,,,,,,,,,,
,,,94063,Yuma County (Arizona),4027,,,,,,,,,,,,,,
,,,526,Arkansas,5,,,,,,,,,,,,,,
,,,733,Arkansas County (Arkansas),5001,,,,,,,,,,,,,,
,,,756,Ashley County (Arkansas),5003,,,,,,,,,,,,,,
,,,684,Baxter County (Arkansas),5005,,,,,,,,,,,,,,
,,,688,Benton County (Arkansas),5007,,,,,,,,,,,,,,
,,,691,Boone County (Arkansas),5009,,,,,,,,,,,,,,
,,,751,Bradley County (Arkansas),5011,,,,,,,,,,,,,,
,,,749,Calhoun County (Arkansas),5013,,,,,,,,,,,,,,
,,,690,Carroll County (Arkansas),5015,,,,,,,,,,,,,,
,,,753,Chicot County (Arkansas),5017,,,,,,,,,,,,,,
,,,739,Clark County (Arkansas),5019,,,,,,,,,,,,,,
,,,683,Clay County (Arkansas),5021,,,,,,,,,,,,,,
,,,709,Cleburne County (Arkansas),5023,,,,,,,,,,,,,,
,,,744,Cleveland County (Arkansas),5025,,,,,,,,,,,,,,
,,,755,Columbia County (Arkansas),5027,,,,,,,,,,,,,,
,,,712,Conway County (Arkansas),5029,,,,,,,,,,,,,,
,,,701,Craighead County (Arkansas),5031,,,,,,,,,,,,,,
,,,707,Crawford County (Arkansas),5033,,,,,,,,,,,,,,
,,,716,Crittenden County (Arkansas),5035,,,,,,,,,,,,,,
,,,714,Cross County (Arkansas),5037,,,,,,,,,,,,,,
